순위, 곡명 ,가수, 앨범, 좋아요
1,Ditto,NewJeans,NewJeans 'OMG',224105
2,OMG,NewJeans,NewJeans 'OMG',145513
3,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',235312
4,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',281274
5,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',85325
6,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),82916
7,Attention,NewJeans,NewJeans 1st EP 'New Jeans',210672
8,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,147084
9,After LIKE,IVE (아이브),After LIKE,217072
10,I Don't Think That I Like Her,Charlie Puth,CHARLIE,111136
11,Candy,NCT DREAM,Candy - Winter Special Mini Album,135017
12,LOVE DIVE,IVE (아이브),LOVE DIVE,226348
13,Nxde,(여자)아이들,I love,153552
14,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION,84963
15,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,17876
16,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,87601
17,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,252331
18,Monologue,테이,Monologue,76657
19,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),142206
20,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),175227
21,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',125119
22,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,189344
23,해요 (2022),#안녕,해요 (2022),72103
24,마지막 사랑,신예영,마지막 사랑,18364
25,Shut Down,BLACKPINK,BORN PINK,112672
26,그대를 알고,송하예,그대를 알고,30426
27,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),39353
28,Pink Venom,BLACKPINK,BORN PINK,152070
29,내가 아니라도,주호,내가 아니라도,92321
30,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,104726
31,TOMBOY,(여자)아이들,I NEVER DIE,231957
32,Unholy,Sam Smith,Gloria,39802
33,취중고백,김민석 (멜로망스),취중고백,158657
34,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,101709
35,That's Hilarious,Charlie Puth,CHARLIE,147361
36,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,125461
37,잘가요,주호,잘가요,30513
38,니 번호가 뜨는 일,이예준,니 번호가 뜨는 일,16511
39,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),26581
40,그라데이션,10CM,5.3,134804
41,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS),쇼미더머니 11 Episode 1,77431
42,STAY,The Kid LAROI,Stay,250135
43,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),164392
44,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,200482
45,ELEVEN,IVE (아이브),ELEVEN,176131
46,모든 날, 모든 순간 (Every day, Every Moment),폴킴,'키스 먼저 할까요?' OST Part.3,415901
47,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,78960
48,나의 X에게,경서,나의 X에게,138367
49,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY',78034
50,우리들의 블루스,임영웅,IM HERO,88140
