지역, 온도, 습도
강릉,6.4,47
강진군,8.0,57
강화,0.2,63
거제,8.1,61
거창,5.6,49
경주시,8.7,52
고산,4.0,82
고창,2.8,49
고창군,6.9,55
고흥,5.4,60
광양시,8.4,54
광주,7.6,54
구미,9.1,47
군산,2.5,53
금산,3.9,61
김해시,6.6,61
남원,4.9,59
남해,7.9,61
대관령,-7.3,74
대구,7.6,46
대전,3.3,54
동두천,0.9,54
동해,5.3,50
목포,3.4,65
문경,2.4,56
밀양,8.7,44
백령도,0.0,48
보령,4.7,51
보성군,7.3,66
보은,2.9,63
봉화,2.6,63
부산,7.1,61
부안,4.5,56
부여,4.7,48
북강릉,4.1,44
북부산,7.4,54
북창원,7.2,58
북춘천,0.9,69
산청,8.0,53
상주,5.6,52
서귀포,11.4,70
서산,2.3,50
서울,1.4,57
성산,6.4,84
세종,4.9,47
속초,4.5,50
수원,1.6,58
순창군,4.8,62
순천,7.7,60
안동,3.2,53
양산시,8.7,59
양평,3.0,53
여수,6.9,59
영광군,7.0,58
영덕,5.4,51
영월,3.9,62
영주,2.7,55
영천,6.9,53
완도,9.1,60
울릉도,-0.4,86
울산,6.3,63
울진,4.4,48
원주,2.6,46
의령군,7.2,47
의성,6.8,52
이천,3.1,58
인제,1.0,59
인천,1.3,57
임실,6.0,57
장수,4.3,62
장흥,8.5,58
전주,3.3,61
정선군,1.5,50
정읍,5.5,54
제주,6.4,83
제천,1.7,63
진도군,3.9,65
진주,6.8,60
창원,5.5,57
천안,4.5,51
철원,-1.4,59
청송군,3.8,45
청주,4.9,47
추풍령,2.3,57
춘천,1.5,53
충주,4.0,64
태백,-2.9,60
통영,7.5,59
파주,1.5,54
포항,6.6,57
함양군,6.8,49
합천,9.0,49
해남,7.2,59
홍성,3.1,52
홍천,2.1,57
흑산도,2.3,63
